judge_model,experiment_type,app,variant,detector_model,method,n_removed,n_omissions,n_additions,omissions_match,omissions_partial,omissions_none,reqs_found_via_omissions,additions_match,additions_partial,additions_none,reqs_found_via_additions
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-tracker,3,12,3,5,1,6,2,0,0,3,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-tracker,3,12,3,5,1,6,2,0,0,3,0
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,12,3,4,3,5,2,0,0,3,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,12,3,0,7,5,2,0,0,3,0
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,twoshot,3,22,1,5,2,15,2,0,0,1,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,twoshot,3,22,1,0,7,15,2,0,0,1,0
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,zeroshot,3,5,4,1,3,1,1,1,1,2,1
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,zeroshot,3,5,4,1,3,1,1,1,1,2,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-tracker,3,8,1,2,3,3,3,0,0,1,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-tracker,3,8,1,3,2,3,3,0,0,1,0
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-warehouse,3,8,2,2,5,1,3,0,0,2,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-warehouse,3,8,2,2,4,2,3,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-5.4,twoshot,3,9,2,3,4,2,3,0,0,2,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,twoshot,3,9,2,4,3,2,3,0,0,2,0
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,gpt-5.4,zeroshot,3,9,2,3,3,3,3,0,2,0,1
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,zeroshot,3,9,2,4,3,2,3,0,2,0,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-tracker,4,4,2,3,1,0,3,0,2,0,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-tracker,4,4,2,3,1,0,3,0,2,0,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-warehouse,4,4,2,3,0,1,3,1,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-warehouse,4,4,2,3,0,1,3,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,twoshot,4,4,2,3,1,0,3,1,1,0,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,twoshot,4,4,2,3,1,0,3,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,zeroshot,4,5,2,3,1,1,3,1,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,zeroshot,4,5,2,3,1,1,3,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-tracker,4,3,2,2,1,0,2,1,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-tracker,4,3,2,2,1,0,2,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-warehouse,4,4,2,2,2,0,2,1,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-warehouse,4,4,2,2,2,0,2,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,twoshot,4,4,1,2,2,0,2,1,0,0,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,twoshot,4,4,1,2,2,0,2,0,1,0,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,zeroshot,4,5,2,3,2,0,3,1,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,zeroshot,4,5,2,3,2,0,3,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-tracker,4,5,1,3,0,2,2,0,0,1,0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-tracker,4,5,1,2,1,2,2,0,0,1,0
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-warehouse,4,4,2,1,1,2,1,1,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-warehouse,4,4,2,1,1,2,1,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,twoshot,4,3,0,1,1,1,1,0,0,0,0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,twoshot,4,3,0,1,1,1,1,0,0,0,0
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,zeroshot,4,5,2,3,0,2,3,1,1,0,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,zeroshot,4,5,2,3,0,2,3,1,1,0,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-tracker,4,6,2,3,2,1,3,1,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-tracker,4,6,2,3,2,1,3,0,1,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-warehouse,4,8,2,3,5,0,3,1,2,0,2
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-warehouse,4,8,2,3,5,0,3,0,2,0,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-5.4,twoshot,4,6,3,3,2,1,3,2,0,1,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,twoshot,4,6,3,3,2,1,3,0,2,1,1
claude-sonnet-4-6,microservices,public-library,books-R8R9R10R11,gpt-5.4,zeroshot,4,7,3,4,3,0,3,1,0,2,1
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,zeroshot,4,7,3,4,3,0,3,1,1,2,2
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,5,2,1,2,2,2,1,1,0,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,5,2,3,0,2,2,0,2,0,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,3,5,3,1,2,2,2,0,1,2,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,3,5,3,3,0,2,2,0,0,3,0
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,twoshot,3,4,3,1,2,1,2,0,2,1,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,twoshot,3,4,3,2,1,1,2,0,3,0,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,zeroshot,3,5,3,2,1,2,2,0,2,1,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,zeroshot,3,5,3,3,0,2,2,0,2,1,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-tracker,3,2,6,2,0,0,2,1,2,3,2
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-tracker,3,2,6,2,0,0,2,0,2,4,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,3,2,6,2,0,0,2,0,1,5,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,3,2,6,2,0,0,2,0,1,5,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,twoshot,3,2,6,2,0,0,2,1,0,5,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,twoshot,3,2,6,2,0,0,2,1,1,4,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,zeroshot,3,3,7,3,0,0,2,0,2,5,2
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,zeroshot,3,3,7,3,0,0,2,0,1,6,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-tracker,3,9,3,2,0,7,2,0,0,3,0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-tracker,3,9,3,2,0,7,2,0,0,3,0
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,3,3,2,1,0,3,0,0,3,0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,3,3,2,1,0,3,0,0,3,0
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,twoshot,3,5,4,2,0,3,2,0,0,4,0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,twoshot,3,5,4,2,0,3,2,0,1,3,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,zeroshot,3,5,5,2,1,2,3,0,1,4,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,zeroshot,3,5,5,2,1,2,3,0,2,3,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-tracker,3,5,5,3,1,1,3,1,0,4,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-tracker,3,5,5,3,1,1,3,0,1,4,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-warehouse,3,5,7,3,2,0,3,0,1,6,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-warehouse,3,5,7,2,3,0,3,0,1,6,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-5.4,twoshot,3,3,2,2,1,0,3,1,0,1,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,twoshot,3,3,2,2,1,0,3,0,1,1,1
claude-sonnet-4-6,microservices,public-library,borrows-R1R2R3,gpt-5.4,zeroshot,3,3,5,2,1,0,3,1,0,4,1
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,zeroshot,3,3,5,2,1,0,3,1,0,4,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,4,3,2,1,1,1,2,0,2,1,2
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,4,3,2,2,0,1,2,0,2,1,2
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,4,4,2,2,3,0,4,0,2,1,2
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,4,4,2,0,4,0,3,0,3,0,3
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,twoshot,4,4,2,1,2,1,3,0,3,0,3
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,twoshot,4,4,2,0,3,1,3,0,3,0,3
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,zeroshot,4,4,3,2,2,0,3,0,3,1,3
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,zeroshot,4,4,3,0,4,0,3,0,4,0,4
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,4,5,4,3,1,1,2,0,1,3,1
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,4,5,4,3,1,1,2,0,1,3,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,4,6,3,4,0,2,2,0,0,3,0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,4,6,3,3,1,2,2,0,0,3,0
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,twoshot,4,5,3,2,1,3,2,0,0,3,0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,twoshot,4,5,3,2,2,1,3,0,0,3,0
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,zeroshot,4,5,4,2,2,2,3,0,1,3,1
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,zeroshot,4,5,4,0,3,2,2,0,1,3,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,4,6,1,1,2,4,2,0,0,1,0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,4,6,1,2,3,2,3,0,1,0,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,4,5,1,0,4,2,3,0,0,1,0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,4,5,1,2,0,3,1,0,0,1,0
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,twoshot,4,7,1,2,3,3,3,0,0,1,0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,twoshot,4,7,1,0,4,3,3,0,0,1,0
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,zeroshot,4,5,3,3,2,1,4,0,0,3,0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,zeroshot,4,5,3,3,1,1,3,0,1,2,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-tracker,4,5,3,2,3,0,3,0,1,2,1
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-tracker,4,5,3,2,3,0,3,0,1,2,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-warehouse,4,5,4,2,2,1,3,0,1,3,1
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-warehouse,4,5,4,2,2,1,3,0,1,3,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,twoshot,4,5,4,2,4,0,3,0,0,4,0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,twoshot,4,5,4,4,0,1,3,0,1,3,1
claude-sonnet-4-6,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,zeroshot,4,4,3,3,2,1,4,0,1,2,1
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,zeroshot,4,4,3,3,1,1,4,0,1,2,1
claude-sonnet-4-6,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-tracker,1,4,0,1,0,3,1,0,0,0,0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-tracker,1,4,0,0,1,3,1,0,0,0,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-warehouse,1,3,2,1,0,2,1,0,0,2,0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-warehouse,1,3,2,0,1,2,1,0,0,2,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,twoshot,1,3,0,1,0,2,1,0,0,0,0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,twoshot,1,3,0,0,1,2,1,0,0,0,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,zeroshot,1,4,4,0,1,3,1,0,0,4,0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,zeroshot,1,4,4,0,1,3,1,0,0,4,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-tracker,1,1,1,0,0,1,0,0,0,1,0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-tracker,1,1,1,0,0,1,0,0,0,1,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-warehouse,1,0,1,0,0,0,0,0,0,1,0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-warehouse,1,0,1,0,0,0,0,0,0,1,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,claude-sonnet-4-6,twoshot,1,1,1,0,0,1,0,0,0,1,0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,twoshot,1,1,1,0,0,1,0,0,0,1,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,claude-sonnet-4-6,zeroshot,1,3,2,0,1,2,1,0,0,2,0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,zeroshot,1,3,2,0,1,2,1,0,0,2,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-tracker,1,0,0,0,0,0,0,0,0,0,0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-tracker,1,0,0,0,0,0,0,0,0,0,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-warehouse,1,0,0,0,0,0,0,0,0,0,0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-warehouse,1,0,0,0,0,0,0,0,0,0,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-4.1-mini,twoshot,1,0,0,0,0,0,0,0,0,0,0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,twoshot,1,0,0,0,0,0,0,0,0,0,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-4.1-mini,zeroshot,1,6,0,0,2,4,2,0,0,0,0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,zeroshot,1,6,0,0,1,5,1,0,0,0,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-tracker,1,1,4,1,0,0,1,0,1,3,1
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-tracker,1,1,4,0,1,0,1,0,0,4,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-warehouse,1,1,3,1,0,0,1,0,0,3,0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-warehouse,1,1,3,1,0,0,1,0,0,3,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-5.4,twoshot,1,0,2,0,0,0,0,0,1,1,1
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,twoshot,1,0,2,0,0,0,0,0,0,2,0
claude-sonnet-4-6,microservices,public-library,logs-R12R13,gpt-5.4,zeroshot,1,1,5,1,0,0,1,0,0,5,0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,zeroshot,1,1,5,0,1,0,1,0,0,5,0
